name,language,type,most_streamed_game,average_stream_duration,followers_gained_per_stream,avg_viewers_per_stream,avg_games_per_stream,total_time_streamed,total_followers,total_views,total_games_streamed,active_days_per_week,most_active_day,day_with_most_followers_gained
kaicenat,English,personality,Just Chatting,7.6,18.405,15.852,2.3,4.698,10600000,9150000,194,3.6,Friday,Saturday
jynxzi,English,personality,Tom Clancy's Rainbow Six Siege,5.4,3.386,1.145,1.2,8.407,5760000,1950000,54,5.6,Tuesday,Sunday
caedrel,English,personality,League of Legends,6.3,689.0,12.331,1.3,6.728,797000,14200000,111,2.8,Thursday,Sunday
caseoh_,English,personality,NBA 2K23,4.6,7.185,0.0,3.6,2.554,4220000,53,385,6.2,Friday,Monday
ibai,Spanish,personality,Just Chatting,4.1,8.289,190.714,1.5,6.865,15600000,359000000,149,4.3,Wednesday,Saturday
auronplay,Spanish,personality,Minecraft,3.7,13.26,213.849,1.8,4.482,16300000,263000000,169,5.0,Wednesday,Sunday
zerator,French,personality,World of Warcraft,5.1,667.0,70.813,1.6,9.845,1570000,156000000,448,5.0,Sunday,Sunday
tarik,English,personality,VALORANT,7.6,2.013,60.43,1.3,10.995,3110000,93300000,78,3.7,Thursday,Sunday
riotgames,English,esports,League of Legends,8.5,3.434,346.968,1.0,9.459,6860000,1339000,8,2.8,Saturday,Sunday
papaplatte,German,personality,Just Chatting,7.6,1.273,48.758,2.8,13.979,2410000,92800000,503,4.7,Wednesday,Saturday
dota2_paragon_ru,Russian,personality,Dota 2,10.7,1.629,0.0,1.0,2.291,352000,0,1,2.8,Tuesday,Sunday
aminematue,French,personality,Grand Theft Auto V,4.3,5.295,30.366,1.9,2.623,2590000,14900000,68,2.8,Monday,Saturday
kato_junichi0817,Japanese,personality,Apex Legends,6.3,546.0,23.768,1.2,6.7,939000,38400000,136,5.2,Saturday,Sunday
fps_shaka,Japanese,personality,PUBG: BATTLEGROUNDS,9.6,517.0,49.442,1.7,23.5,1420000,136000000,311,6.3,Monday,Sunday
illojuan,Spanish,personality,Just Chatting,4.5,2.993,52.631,1.7,7.382,4090000,72000000,368,4.5,Thursday,Sunday
hasanabi,English,personality,Just Chatting,7.4,1.201,53.092,1.5,15.811,2570000,114000000,244,6.6,Tuesday,Friday
montanablack88,German,personality,Just Chatting,4.8,3.495,107.64,2.2,7.14,5340000,156000000,114,3.8,Sunday,Tuesday
playapex,English,esports,Apex Legends,5.3,5.908,86.79,1.0,1.056,1210000,17800000,2,0.7,Monday,Friday
lolpacifictw,Chinese,esports,League of Legends,5.6,634.0,101.849,1.0,2.503,281000,44900000,1,2.0,Saturday,Tuesday
